Steps $(n)$,$t_n$,$i(t_n)$,$i_n$,$epsilon_l$
0,0.0,0.0,0.0,0.0
1,0.01,0.0018730112222509778,0.0,0.0018730112222509778
2,0.02,0.007031017944653766,0.0039997333386666166,0.0015328756281863679
3,0.03,0.014876352569630514,0.011197653508260127,0.0012536713765806794
4,0.04,0.024918237376864272,0.02095092410249702,0.0010243540252709415
5,0.05,0.03675341013482159,0.03274367807583216,0.0008358814394956345
6,0.06,0.05005026227203262,0.04616162579003136,0.0006808508348097129
7,0.07,0.06453585288825092,0.06087174208980896,0.0005532016128409357
8,0.08,0.07998527730311765,0.07660601660069447,0.0004479720636696126
9,0.09,0.09621296333581256,0.09314845460340476,0.0003611001704692425
10,0.1,0.11306554587583995,0.11032467836788865,0.000289260522025013
11,0.11,0.1304160336475665,0.12799360885332317,0.0002297307878822881
12,0.12,0.14815903393155733,0.1460408116988324,0.00018028239733027668
13,0.13,0.16620684346548237,0.16437317464449283,0.0001390910348095832
14,0.14,0.18448624851045392,0.1829146500940253,0.00010466335963700557
15,0.15,0.20293590553026272,0.201602849788043,7.577700907689111e-05
16,0.16,0.2215041972333765,0.22038632116270232,5.143147689841074e-05
17,0.17,0.24014747780595289,0.2392223690533854,3.0807896028137854e-05
18,0.18,0.2588286367841839,0.2580753136708712,1.32361112587763e-05
19,0.19,0.27751592380291906,0.27691509759171495,1.8322794460325087e-06
20,0.2,0.2961819869279559,0.2957161719559685,1.4845996975900583e-05
21,0.21,0.31480308585186845,0.31445660602650494,2.6172152226305867e-05
22,0.22,0.3333584482517922,0.333117375433118,3.6111041616562756e-05
23,0.23,0.3518297433538917,0.3516817933596943,4.490826074199025e-05
24,0.24,0.37020065145391734,0.3701350560808594,5.276462229993062e-05
25,0.25,0.3884565119951231,0.3884638799729841,5.984427630735187e-05
26,0.26,0.40658403595846326,0.4066562116992279,6.628135847581637e-05
27,0.27,0.42457107090197227,0.4247009969281297,7.218543354569132e-05
28,0.28,0.4424064091001882,0.44258799587312636,7.764595201225147e-05
29,0.29,0.46007963096524007,0.4603076362826778,8.273589908714893e-05
30,0.3,0.47758097734825167,0.47785089638451694,8.75147823151054e-05
31,0.31,0.49490124547988246,0.49520921178662064,9.20310777259431e-05
32,0.32,0.5120317042586933,0.5123744015367575,9.63242326737293e-05
33,0.33,0.528964025373715,0.5293386095018844,0.00010042630571801756
34,0.34,0.545690227384317,0.5460942579961943,0.00010436330934171859
35,0.35000000000000003,0.56220263040178,0.5626340112006492,0.00010815630936737014
36,0.36,0.5784938194437835,0.5789507464080575,0.00011182232517857257
37,0.37,0.5945566148824745,0.5950375315207407,0.00011537506684699411
38,0.38,0.6103840486928761,0.6108876075422216,0.00011882553873247825
39,0.39,0.6259693454426539,0.6264943750558876,0.0001221825337572105
40,0.4,0.6413059071560362,0.6418513838847921,0.00012545303816898987
41,0.41000000000000003,0.6563873013417146,0.6569523252877383,0.00012864256301887804
42,0.42,0.6712072516031153,0.6717910261755697,0.00013175541563542788
43,0.43,0.6857596303546917,0.6863614449346277,0.0001347949219724729
44,0.44,0.70003845325408,0.7006576685267576,0.00013776360872876092
45,0.45,0.7140378750305204,0.7146739106011999,0.00014066335253744983
46,0.46,0.7277521864477262,0.7284045104064566,0.00014349550218679778
47,0.47000000000000003,0.7411758121866933,0.7418439323324385,0.00014626097876090094
48,0.48,0.754303309472675,0.7549867659469737,0.00014896035770226544
49,0.49,0.7671293673022693,0.7678277264177786,0.00015159393607030655
50,0.5,0.7796488061525335,0.780361655232617,0.00015416178767605794
